trade_id,asset,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
25,TRX,LONG,2024-07-12 23:00:00+00:00,2024-07-13 00:00:00+00:00,0.13727,0.13751977923446085,1h,122,0.9890645146369934,0.9754944443702698,5,2500.0,0.13606285714996513,ADAPTIVE_TRAIL_HIT,1,1.0,0.9098,22.75,0.9892
26,TRX,LONG,2024-07-13 00:00:00+00:00,2024-07-13 01:00:00+00:00,0.13747,0.13764801992626718,1h,123,0.9892693161964417,0.9758660197257996,5,2500.0,0.1363557143034693,ADAPTIVE_TRAIL_HIT,1,1.0,0.6475,16.19,0.9895
27,TRX,LONG,2024-07-13 01:00:00+00:00,2024-07-13 12:00:00+00:00,0.13823,0.13920302891560613,1h,124,0.9895244240760803,0.976451575756073,5,2500.0,0.1370942857351806,ADAPTIVE_TRAIL_HIT,11,11.0,3.5196,87.99,0.9896
28,ICP,LONG,2024-07-13 04:00:00+00:00,2024-07-13 04:10:00+00:00,7.575,7.569957065818405,5m,45,0.9583388566970825,0.8998368382453918,5,1875.0,7.511250001192093,ADAPTIVE_TRAIL_HIT,2,0.17,-0.3329,-6.24,0.9599
29,SAND,LONG,2024-07-13 04:00:00+00:00,2024-07-13 04:30:00+00:00,0.3102,0.31147775757995744,30m,50,0.9145505428314209,0.8918060064315796,3,1500.0,0.30653928557159377,ADAPTIVE_TRAIL_HIT,1,0.5,1.2357,18.54,0.9137
30,MANA,LONG,2024-07-13 04:00:00+00:00,2024-07-13 04:30:00+00:00,0.3243,0.3243471842023431,30m,59,0.8929467797279358,0.868604838848114,2,1000.0,0.3210857141746208,ADAPTIVE_TRAIL_HIT,1,0.5,0.0291,0.29,0.8914
31,ICP,LONG,2024-07-13 05:00:00+00:00,2024-07-13 05:05:00+00:00,7.618,7.626032449364529,5m,62,0.9750901460647583,0.9319534301757812,5,1875.0,7.57549999769032,ADAPTIVE_TRAIL_HIT,1,0.08,0.5272,9.89,0.9739
32,SAND,LONG,2024-07-13 05:00:00+00:00,2024-07-13 06:30:00+00:00,0.3134,0.312805146503236,30m,52,0.9191433191299438,0.899799644947052,3,1500.0,0.30936428562654184,ADAPTIVE_TRAIL_HIT,3,1.5,-0.5694,-8.54,0.9234
33,MANA,LONG,2024-07-13 05:00:00+00:00,2024-07-13 12:00:00+00:00,0.3267,0.3293729819960689,30m,62,0.9005652666091919,0.8752089142799377,3,1500.0,0.3231821428875439,ADAPTIVE_TRAIL_HIT,14,7.0,2.4545,36.82,0.9306
34,ADA,LONG,2024-07-13 06:00:00+00:00,2024-07-14 02:00:00+00:00,0.4213,0.42964492700747925,1h,112,0.9802339673042297,0.9437379837036133,5,2500.0,0.4108178573206067,ADAPTIVE_TRAIL_HIT,20,20.0,9.9038,247.59,0.9796
35,ICP,LONG,2024-07-13 07:00:00+00:00,2024-07-13 08:25:00+00:00,7.91,8.049836942665278,5m,81,0.9813913702964783,0.8802152276039124,5,1875.0,7.802142852768302,ADAPTIVE_TRAIL_HIT,17,1.42,8.8393,165.74,0.9817
36,ICP,LONG,2024-07-13 12:00:00+00:00,2024-07-13 12:05:00+00:00,8.095,8.192658338767126,5m,165,0.974511444568634,0.813776433467865,5,1875.0,7.989285714253784,ADAPTIVE_TRAIL_HIT,1,0.08,6.032,113.1,0.9741
37,SAND,LONG,2024-07-13 12:00:00+00:00,2024-07-13 12:30:00+00:00,0.3134,0.31522622238842424,30m,66,0.9440479278564453,0.9460258483886719,3,1500.0,0.309971428491734,ADAPTIVE_TRAIL_HIT,1,0.5,1.7481,26.22,0.9423
38,ICP,LONG,2024-07-13 13:00:00+00:00,2024-07-13 13:05:00+00:00,8.042,8.206169753430608,5m,186,0.9688441753387451,0.8100087642669678,5,1875.0,7.964678573057055,ADAPTIVE_TRAIL_HIT,1,0.08,10.207,191.38,0.9677
39,SAND,LONG,2024-07-13 13:00:00+00:00,2024-07-13 13:30:00+00:00,0.3131,0.31531976644398324,30m,69,0.941929817199707,0.9469226598739624,3,1500.0,0.3097785713331774,ADAPTIVE_TRAIL_HIT,1,0.5,2.1269,31.9,0.9401
40,SAND,LONG,2024-07-13 14:00:00+00:00,2024-07-13 14:30:00+00:00,0.3126,0.31551378398567703,30m,71,0.9381742477416992,0.9471983909606934,3,1500.0,0.3092964285704307,ADAPTIVE_TRAIL_HIT,1,0.5,2.7963,41.95,0.9383
41,ICP,LONG,2024-07-13 15:00:00+00:00,2024-07-13 16:00:00+00:00,8.298,8.280501374278467,1h,21,0.9530547261238098,0.910780131816864,5,1875.0,7.8347857068777085,ADAPTIVE_TRAIL_HIT,1,1.0,-1.0544,-19.77,0.9534
